,ticker,price,change_amount,change_percentage,volume,category,logo
0,RDHL,1.0,0.6845,216.9572,190352444,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/RDHL.png
1,PERF+,0.11,0.075,214.2857,126581,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/PERF+.png
2,HNRA+,0.0989,0.0622,169.4823,102459,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/HNRA+.png
3,VIEWW,0.0053,0.0027,103.8462,419097,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/VIEWW.png
4,HYZNW,0.0395,0.0193,95.5446,6108,Top Gainers,
5,BDRX,5.11,2.435,91.028,32919234,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/placeholder.png
6,ASST,0.6611,0.3111,88.8857,55500302,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/ASST.png
7,LEXXW,0.55,0.25,83.3333,124318,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/LEXXW.png
8,SST+,0.0982,0.0446,83.209,370776,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/SST+.png
9,SHOTW,1.34,0.59,78.6667,64656,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/placeholder.png
10,BTCTW,0.0299,0.0131,77.9762,10,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/placeholder.png
11,LIVBW,0.0222,0.0097,77.6,14012,Top Gainers,
12,NOTE+,0.5199,0.2249,76.2373,178867,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/NOTE+.png
13,CAPT,4.09,1.75,74.7863,22425128,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/placeholder.png
14,NRSNW,0.3,0.12,66.6667,40435,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/NRSNW.png
15,BCSAW,0.0365,0.0144,65.1584,375,Top Gainers,
16,EFTRW,0.15,0.059,64.8352,1069,Top Gainers,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/EFTRW.png
